,VIDEOID,PUBLISHEDAT,TITLE,TAGS,VIEWCOUNT,LIKECOUNT,COMMENTCOUNT,CONTENTDETAILS,CATEGORYID,VIDEO_TIME,PUBLISHED_PERIOD,YEAR_MONTH,DAY_OF_WEEK_NAME,DAY_OF_WEEK_NUMBER,CATEGORY_TITLE
0,iDLQHJ2Tta8,2024-06-24 11:19:37,DLACZEGO I KIEDY NIEMCY PRZEGRAŁY II WOJNĘ ŚWIATOWĄ? | MILITARNE ZERO #20,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'jarosław wolski', 'norbet bączyk', 'niemcy 2 wojna światowa', 'dlaczego niemcy przegrali 2 wojnę światową', 'ukraina', 'wojna na ukrainie', 'wolski kanał zero', 'mlitaria', 'militarne zero', 'przyczyny porażki niemiec', '2 wojna światowa', 'bomba atomowa', 'alianci 2 wojna', 'alianci', 'wojna światowa niemcy', '2 wojna światowa niemcy', 'przyczyny 2 wojny światowej']",198042,10922,1163,PT30M59S,25,30.98,Morning,2024-06,Monday,0,News & Politics
1,3UaVgRYkx9M,2024-07-07 13:00:03,"WYBORY WE FRANCJI, NOWY RZĄD WIELKIEJ BRYTANII, ORBAN W KIJOWIE I W MOSKWIE - ŚWIAT OD ZERA #13","['kanał zero extra', 'kanal zero extra', 'kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'kanał zero świat od zera', 'kanał zero arleta bojke', 'orban', 'viktor orban', 'rosja', 'moskwa', 'kijów', 'francja', 'wybory francja', 'marine le pen', 'pożary w grecji', 'kanał zero marine le pen', 'świat od zera arleta bojke', 'arleta bojke francja', 'wielka brytania', 'anglia wybory', 'keir starmer', 'keir starmer kanał zero']",127937,5467,628,PT40M23S,25,40.38,Afternoon,2024-07,Sunday,6,News & Politics
2,ug23y3FlwCE,2024-07-27 13:01:19,"DZIENNIKARSKIE ZERO: PKP CARGO, CZYLI JAK ZARŻNIĘTO WIELKĄ FIRMĘ","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'pkp cargo', 'upadek pkp cargo', 'co to pkp cargo', 'czym się zajmuje pkp cargo', 'stanowski pkp cargo', 'pociągi', 'przewóz towarów', 'przewoźnik węgla', 'polityka', 'związki zawodowe', 'związki zawodowe pkp cargo', 'pkp cargo problemy', 'pkp cargo zwolnienia', 'pkp cargo zwalnia pracowników', 'kolej państwowa', 'prezes pkp cargo', 'pkp', 'polskie koleje państwowe']",726955,27109,3715,PT37M36S,25,37.6,Afternoon,2024-07,Saturday,5,News & Politics
3,J1AHNSpHX0A,2024-07-08 21:10:45,GROUND ZERO #24: DOKĄD ZMIERZA FRANCJA? GOŚĆ: KACPER KITA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'kanal', 'rajmund andrzejczak', 'gen. rajmund andrzejczak', 'geopolityka', 'Sławomir dębski', 'dębski', 'ground zero', 'andrzejczak', 'andrzejczak kanał zero', 'ground zero kanal zero', 'polityka zagraniczna', 'zaleski kanał zero', 'francja', 'francja marine le pan', 'wybory francja', 'unia europejska', 'wybory we francji', 'francja 2024', 'kanał zero marine le pan', 'kacper kita']",91890,3001,164,PT2H20M35S,25,140.58,Evening,2024-07,Monday,0,News & Politics
4,R_fBxRBVafc,2024-07-23 20:42:29,"DEBATA: WOŁYŃ. STANOWSKI, ZYCHOWICZ, PARAFIANOWICZ, MOTYKA, SKÓRKA","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'godzina zero', 'kanal', 'krzysztof stanowski', 'stanowski', 'polityka', 'debata', 'debata kanal zero', 'stanowski debata', 'debata wołyń', 'debata o wołyniu', 'wołyń', 'wołyń kanał zero', 'wołyń debata', 'ukraina', 'ukraina wołyń', 'wołyń ukraina', 'Piotr Zychowicz', 'Grzegorz Motyka', 'Mirosław Skórka', 'rzeź wołyńska', 'Wołyń', 'Ukraina', 'historia', 'parafianowicz', 'zbigniew parafianowicz']",522457,17634,3709,PT2H35M1S,25,155.02,Evening,2024-07,Tuesday,1,News & Politics
5,8QTeQiyXb2E,2024-07-14 12:11:44,ZAMACH NA DONALDA TRUMPA. CO WIEMY PO ATAKU NA WIECU W PENSYLWANII,"['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'donald trump', 'trump', 'trump zamach', 'donald trump zamach', 'wiec trumpa', 'wybory', 'wybory usa', 'wybory stany zjednoczone', 'wybory trump', 'wybory trump biden', 'kampania wyborcza', 'kampania wyborcza stany zjednoczone', 'kampania wyborcza trump', 'trump biden', 'teorie spiskowe', 'teoria spiskowa trump', 'donald trump postrzelony', 'strzał trump']",478248,18010,2451,PT13M16S,25,13.27,Afternoon,2024-07,Sunday,6,News & Politics
6,ix53g2XVlvk,2024-07-12 18:55:59,"PRZEGRANE GŁOSOWANIE KO, ODEBRANE IMMUNITETY PIS","['kanał zero extra', 'kanal zero extra', 'kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'donald tusk', 'premier tusk', 'kanał zero dusk', 'kanał zero donald tusk', 'sejm', 'głosowanie w sejmie', 'the best of sejm', 'marzałek', 'szymon hołowania', 'prawo i sprawiedliwość', 'ambasador nato', 'koalicja obywatelska', 'sejm polski', 'polityka', 'politycy', 'konfederacja', 'lewica', 'polityka polska', 'ustawy', 'błaszczak']",197080,5774,1135,PT10M20S,25,10.33,Evening,2024-07,Friday,4,News & Politics
7,w9--YnQZ4bs,2024-07-01 07:45:37,"JORDAN BARDELLA – KIM JEST MŁODY POLITYK, KTÓRY STOI ZA SUKCESEM ZJEDNOCZENIA NARODOWEGO WE FRANCJI?","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'zero', 'stanowski', 'arleta bojke', 'kanał zero arleta bojke', 'francja', 'wybory francja', 'wybory francja 2024', 'jordan bardella', 'kanał zero francja', 'commentary', 'premier francji', 'kanał zero marine le pan', 'marinelepen', 'marine le pen', 'kanał zero wybory', 'kanał zero wybory francja', 'macron', 'prezydent macron', 'polityka', 'polityka francja', 'francja wybory', 'wybory we francji']",150227,5797,691,PT12M3S,25,12.05,Morning,2024-07,Monday,0,News & Politics
8,cNdQa-_j2lI,2024-07-27 07:00:31,ŚLEDZTWO PO ZAMACHU NA TRUMPA. SECRET SERVICE NA CENZUROWANYM,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'commentary', 'donald trump', 'trump', 'jak doszło do zamachu na trumpa', 'secret service', 'secret service kanał zero', 'czy secret service zawiodło', 'czym jest secret service', 'secret service donald trump', 'kanał zero joanna pinkwart', 'zamach na trumpa', 'donald trump postrzelony', 'donald trump ranny', 'secret service ochrona', 'ameryka']",130834,5696,410,PT12M33S,25,12.55,Morning,2024-07,Saturday,5,News & Politics
9,g35xIwKAFCc,2024-08-01 17:30:04,NAJWIĘKSZA WYMIANA WIĘŹNIÓW OD CZASU ZIMNEJ WOJNY. DLACZEGO DO NIEJ DOSZŁO I KTO ODZYSKAŁ WOLNOŚĆ,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'maria stepan', 'commentary', 'wymiana więźniów', 'turcja wymiana więźniów', 'o co chodzi w wymianie więźniów', 'rosja', 'usa', 'stany zjednoczone', 'zachód', 'wschód', 'wymiana więźniów między zachodem i wschodem', 'szpiedzy', 'wymiana szpiegów', 'szpiedzy rosja', 'szpiedzy usa', 'stany zjednoczone rosja', 'białoruś', 'kanał zero wymiana więźniów', 'kanał zero szpieg', 'turcja']",75591,3584,214,PT11M25S,25,11.42,Afternoon,2024-08,Thursday,3,News & Politics
